ID;Prov;casemo1;casemo2;casemo3;ratemo1;ratemo2;ratemo3;pop100000
1;Aceh;7;18;38;0.13;0.33;0.70;54.599
2;Bali;135;363;976;3.08;8.29;22.28;43.808
3;Bangka Belitung;7;29;147;0.46;1.91;9.69;15.176
4;Banten;324;698;1331;2.46;5.30;10.11;131.605
5;Bengkulu;4;67;107;0.20;3.32;5.30;20.198
6;Gorontalo;4;28;220;0.33;2.30;18.04;12.196
7;West Papua;7;105;222;0.71;10.69;22.61;9.818
8;Jakarta;3032;6155;9655;28.48;57.82;90.70;106.45
9;Jambi;8;84;112;0.22;2.28;3.05;36.779
10;West Java;696;1700;2805;1.39;3.40;5.62;499.357
11;Central Java;349;1175;2471;1.00;3.36;7.07;349.401
12;East Java;590;2377;9057;1.48;5.96;22.71;398.863
13;West Kalimantan;21;132;296;0.41;2.57;5.76;51.348
14;South Kalimantan;96;484;2392;2.23;11.25;55.58;43.04
15;Central Kalimantan;46;232;738;1.66;8.38;26.65;27.692
16;East Kalimantan;59;258;417;1.56;6.80;10.99;37.937
17;North Kalimantan;69;160;173;8.98;20.83;22.53;7.68
18;Riau Islands;79;140;263;3.52;6.24;11.73;22.422
19;Lampung;26;84;172;0.31;0.99;2.02;85.212
20;North Maluku;4;95;383;0.31;7.43;29.95;12.788
21;Maluku;17;107;544;0.93;5.84;29.70;18.319
22;West Nusa Tenggara;61;375;1022;1.19;7.32;19.94;51.256
23;East Nusa Tenggara;1;71;108;0.02;1.28;1.95;55.414
24;Papua;107;389;1368;3.11;11.32;39.82;34.354
25;Riau;30;106;142;0.42;1.49;1.99;71.283
26;West Sulawesi;7;77;104;0.50;5.48;7.40;14.05
27;South Sulawesi;370;1064;3573;4.14;11.92;40.02;89.28
28;Central Sulawesi;27;115;173;0.87;3.71;5.59;30.97
29;Southeast Sulawesi;37;202;329;1.34;7.33;11.94;27.556
30;North Sulawesi;20;126;784;0.79;4.98;31.00;25.288
31;West Sumatera;72;420;700;1.31;7.64;12.73;54.988
32;South Sumatera;89;597;1680;1.04;6.97;19.61;85.679
33;North Sumatera;81;235;1024;0.55;1.60;6.96;147.035
34;Yogyakarta;67;207;277;1.73;5.33;7.13;38.823
